Rank,Artist,Album,Date,Rating,Ratings Count,Genres
1,JPEGMAFIA&,Scaring the Hoes,24 March 2023,3.91,45k,"Experimental Hip Hop, Hardcore Hip Hop, Industrial Hip Hop, Jazz Rap, Glitch Hop, Trap, Electronic Dance Music"
2,Sufjan Stevens,Javelin,6 October 2023,3.94,19k,"Indie Folk, Singer-Songwriter, Chamber Folk, Folktronica"
3,billy woods&,Maps,5 May 2023,3.88,16k,"Abstract Hip Hop, Jazz Rap, Conscious Hip Hop, Experimental Hip Hop"
4,SpaceGhostPurrp,Dark Angels,19 November 2023,3.87,2k,"Cloud Rap, Trap, Experimental Hip Hop, Memphis Rap, Chopped and Screwed, Horrorcore, Gangsta Rap, Drill"
5,Joe Hisaishi久石譲&,A Symphonic Celebration: Music From the Studio Ghibli Films of Hayao Miyazaki,30 June 2023,3.89,835,"Cinematic Classical, Orchestral Music, Choral, Romanticism, Baroque Music"
6,Geese,3D Country,23 June 2023,3.81,13k,"Indie Rock, Art Punk, Southern Rock, Art Rock, Roots Rock, Alt-Country"
7,SpaceGhostPurrp,Larry Bird Season,1 December 2023,3.89,402,"Trap, Hardcore Hip Hop, Gangsta Rap, Memphis Rap, Experimental Hip Hop, Cloud Rap, Chicago Drill"
8,McKinley Dixon,Beloved! Paradise! Jazz!?,2 June 2023,3.79,12k,"Jazz Rap, Conscious Hip Hop, Neo-Soul, Boom Bap, Abstract Hip Hop"
9,9090gate,London's Saviour,22 December 2023,3.82,5k,"Cloud Rap, Pop Rap, Experimental Hip Hop, Chillwave, Downtempo"
10,Sampha,Lahai,20 October 2023,3.78,12k,"Alternative R&B, Neo-Soul, UK Bass, Art Pop, Future Garage, Progressive Soul"
11,Jeff Rosenstock,HELLMODE,31 August 2023,3.77,11k,"Indie Rock, Power Pop, Pop Punk, Singer-Songwriter, Skate Punk, Post-Hardcore"
12,Armand Hammer,We Buy Diabetic Test Strips,29 September 2023,3.78,10k,"Experimental Hip Hop, Abstract Hip Hop, Drumless, Industrial Hip Hop, Conscious Hip Hop, Cloud Rap, Political Hip Hop"
13,King Gizzard and The Lizard Wizard,"PetroDragonic Apocalypse;  or,  Dawn of Eternal Night:  An Annihilation of Planet Earth and the Beginning of Merciless Damnation",16 June 2023,3.75,15k,"Progressive Metal, Thrash Metal, Stoner Metal, Speed Metal"
14,MIKE,Burning Desire,13 October 2023,3.78,8k,"Abstract Hip Hop, Jazz Rap, Drumless, Experimental Hip Hop, Cloud Rap, Conscious Hip Hop"
15,George Clanton,Ooh Rap I Ya,28 July 2023,3.73,15k,"Chillwave, Neo-Psychedelia, Baggy, Trip Hop, Dream Pop, Hypnagogic Pop, Vapor, Alternative Dance"
16,Willy Rodriguez,Wetdream,25 December 2023,3.79,3k,"Noise Pop, Chamber Pop, Indie Rock, Emo, Slacker Rock, Art Rock, Progressive Rock, Indie Folk"
17,Jessie Ware,That! Feels Good!,28 April 2023,3.73,14k,"Dance-Pop, Disco, Diva House, Philly Soul, Boogie, Funk"
18,underscores,Wallsocket,22 September 2023,3.74,12k,"Indietronica, Indie Rock, Electropop, New Rave, Glitch Pop, Noise Pop, Dance-Pop, Singer-Songwriter"
19,Caroline Polachek,"Desire, I Want to Turn Into You",14 February 2023,3.69,22k,"Art Pop, Alt-Pop, Downtempo, UK Garage"
20,Chuquimamani-Condori,DJ E,15 November 2023,3.76,3k,"Epic Collage, Latin Electronic, Indigenous Andean Music, Bolivian Huayño, Deconstructed Club, Caporal, Saya"
21,yeule,Softscars,22 September 2023,3.70,14k,"Dream Pop, Indietronica, Shoegaze, Glitch Pop, Noise Pop, Indie Pop, Neo-Psychedelia"
22,leroy,Grave Robbing,20 July 2023,3.74,4k,"Hard Dance, Dariacore, Speed House, Hardstyle, Deconstructed Club, Bubblegum Bass, Speed House, Euro Trance"
23,Panopticon,The Rime of Memory,29 November 2023,3.74,4k,"Atmospheric Black Metal, Post-Rock, Post-Metal, Americana"
24,Mitski,The Land Is Inhospitable and So Are We,15 September 2023,3.69,14k,"Singer-Songwriter, Indie Folk, Chamber Pop, Americana, Countrypolitan, Alt-Country"
25,Patricia Taxxon,TECHDOG 4,22 October 2023,3.75,586,"IDM, Glitch Pop, Glitch, Ambient, Drill and Bass"
26,Sprain,The Lamb as Effigy,1 September 2023,3.69,10k,"Experimental Rock, Noise Rock, Post-Rock, Post-Hardcore, Drone, Noise, Totalism, Neoclassical Darkwave"
27,Patricia Taxxon,TECHDOG 7,25 October 2023,3.71,443,"Ambient, Drone, Reductionism, Electronic"
28,ANOHNI and the Johnsons,My Back Was a Bridge for You to Cross,7 July 2023,3.71,6k,"Singer-Songwriter, Soul, Chamber Pop, Slowcore, Pop Soul, Art Rock"
29,Marco Castello,Pezzi della sera,19 September 2023,3.74,930,"Sophisti-Pop, Jazz Pop, Canzone d'autore, Jazz-Funk, Boogie, Bossa nova"
30,Aesop Rock,Integrated Tech Solutions,10 November 2023,3.71,5k,"Abstract Hip Hop, Conscious Hip Hop, Experimental Hip Hop, Boom Bap, Nerdcore Hip Hop"
31,Lex Walton,I Want You to Kill Me,25 November 2023,3.74,405,"Slacker Rock, Noise Pop, Singer-Songwriter, Shitgaze, Power Pop"
32,Swans,The Beggar,23 June 2023,3.67,11k,"Post-Rock, Experimental Rock, Drone, Neofolk, Gothic Country, Sound Collage, Ambient"
33,Danny Brown,Quaranta,17 November 2023,3.66,16k,"Conscious Hip Hop, Hardcore Hip Hop, Experimental Hip Hop, Abstract Hip Hop, Trip Hop"
34,"Łona,",TAXI,13 October 2023,3.72,1k,"Jazz Rap, Conscious Hip Hop, Nu Jazz, Interview, Experimental Hip Hop"
35,Abigor,Taphonomia Aeternitatis (Gesänge im Leichenlicht der Welt),21 December 2023,3.72,836,"Black Metal, Progressive Metal, Avant-Garde Metal, Symphonic Black Metal"
36,i.o,when the dandelions no longer grow,7 June 2023,3.73,452,"Experimental Rock, Emo, Post-Rock, Ambient, Math Rock, Poetry, Sound Collage, Screamo"
37,Lana Del Rey,Did You Know That There's a Tunnel Under Ocean Blvd,24 March 2023,3.64,16k,"Singer-Songwriter, Art Pop, Baroque Pop, Traditional Pop, Alt-Pop, Neo-Psychedelia, Chamber Pop"
38,Parannoul파란노을,After the Magic,28 January 2023,3.64,16k,"Shoegaze, Indie Rock, Dream Pop, Post-Rock, Indietronica, Emo, Noise Pop"
39,Shallowater,There Is a Well,30 December 2023,3.73,931,"Slowcore, Alt-Country, Shoegaze, Midwest Emo"
40,Killing Me Softly,Autumn Lost in Silence,1 December 2023,3.73,853,"Metalcore, Melodic Metalcore, Screamo"
1,Lankum,False Lankum,24 March 2023,3.70,4k,"Irish Folk Music, Avant-Folk, Drone, Neofolk"
2,betcover!!,Uma馬,17 October 2023,3.70,5k,"Jazz-Rock, Art Rock, Progressive Rock, Alternative Rock, Enka, Avant-Prog"
3,Reverend Kristin Michael Hayter,SAVED!,20 October 2023,3.66,7k,"Hymns, Southern Gospel, Singer-Songwriter, Tape Music, Appalachian Folk Music, Avant-Folk"
4,Candelabro,Ahora o nunca,11 November 2023,3.70,3k,"Indie Rock, Art Rock, Neo-Psychedelia, Chamber Pop, Geek Rock"
5,Hitohiraひとひら,Tsukuruつくる,15 November 2023,3.72,837,"Midwest Emo, Shimokita-kei, Shoegaze, Math Pop, Dream Pop"
6,Model/Actriz,Dogsbody,24 February 2023,3.64,12k,"Noise Rock, Dance-Punk, Industrial Rock, Industrial Rock"
7,Patricia Taxxon,TECHDOG 3,21 October 2023,3.71,491,"IDM, Progressive House, Glitch, Ambient, Chillout"
8,Patricia Taxxon,TECHDOG 6,24 October 2023,3.71,350,"Noise, Glitch, IDM, Dark Ambient, Flashcore, Harsh Noise, EAI"
9,Buice,One Day You'll See the Sun,1 December 2023,3.70,1k,"Noise Rock, Post-Hardcore, Art Punk, Pigfuck, Gothic Rock, Math Rock"
10,Joey Valence & Brae,PUNK TACTICS,8 September 2023,3.68,4k,"Hardcore Hip Hop, Mid-School Hip Hop, Nerdcore Hip Hop, Boom Bap, Breakbeat"
11,bl4ck m4rket c4rt,Today I Laid Down,25 August 2023,3.67,8k,"Slowcore, Slacker Rock, Shoegaze, Space Rock Revival, Post-Rock, Singer-Songwriter"
12,Asia Menor,Enola Gay,25 August 2023,3.68,6k,"Indie Rock, Art Punk, Post-Punk, Math Rock, Noise Rock, Post-Hardcore, Midwest Emo, Post-Rock"
13,Raja Kirik,Phantasmagoria of Jathilan,19 July 2023,3.71,704,"Post-Industrial, Kuda kepang, Industrial Hardcore, Industrial Techno, Ritual Ambient, Deconstructed Club"
14,Cady,Forged From the Sun,19 July 2023,3.72,381,"Emoviolence, Metalcore, Grindcore"
15,ØXN,CYRM,27 October 2023,3.70,1k,"Avant-Folk, Darkwave, Drone, Neofolk, Post-Industrial, Neoclassical Darkwave"
16,Iron Firmament,Iron Firmament,23 December 2023,3.72,334,"Black Metal, Dark Folk, Atmospheric Black Metal"
17,Carly Rae Jepsen,The Loveliest Time,28 July 2023,3.65,10k,"Dance-Pop, Nu-Disco, Alt-Pop, Contemporary R&B, Funk, Synthpop"
18,lostrushi,Sisterhood,23 June 2023,3.67,3k,"Digicore, Cloud Rap, HexD, Sigilkore, Alternative R&B, PluggnB, Art Pop"
19,Moonlight Sorcery,Horned Lord of the Thorned Castle,29 September 2023,3.68,2k,"Melodic Black Metal, Symphonic Black Metal, Power Metal, Neoclassical Metal"
20,Trhä,Alëce idlhicAlëce iΩic,18 August 2023,3.68,1k,"Atmospheric Black Metal, Blackgaze, Comfy Synth, Ambient"
21,Hellix,Montage,3 November 2023,3.71,437,"Technical Thrash Metal, Progressive Metal, Avant-Garde Metal, Mathcore"
22,Portraits of Tracy,Drive Home,26 May 2023,3.71,452,"Alternative R&B, Pop Rap, Art Pop, Neo-Soul, Alt-Pop, Neo-Psychedelia, Experimental Hip Hop, Radio Drama"
23,Ana Frango Elétrico,Me chama de gato que eu sou sua,20 October 2023,3.66,6k,"Sophisti-Pop, Funk, MPB, Jazz-Funk, Boogie, Baroque Pop"
24,Virtual Dream Plaza仮想夢プラザ,Beyond the Dream夢を越えて,20 September 2023,3.73,296,"Slushwave, Ambient"
25,Patricia Taxxon,TECHDOG 5,23 October 2023,3.68,482,"IDM, Dark Ambient, Glitch, Space Ambient, Noise, Post-Industrial, Flashcore"
26,Lil Ugly Mane,Singles,13 March 2023,3.66,4k,"Slacker Rock, Neo-Psychedelia, Noise Pop, Trip Hop, Midwest Emo, Shoegaze"
27,Jeromes Dream,The Gray in Between,5 May 2023,3.65,6k,"Screamo, Noise Rock, Emoviolence, Mathcore"
28,DJ Ramon Sucesso,Sexta dos crias,10 November 2023,3.65,2k,"Funk 150 bpm, Beat bolha"
29,Yves Tumor,"Praise a Lord Who Chews but Which Does Not Consume; (Or Simply, Hot Between Worlds)",17 March 2023,3.62,13k,"Neo-Psychedelia, Post-Punk, Art Rock, Noise Pop, Post-Punk Revival, Dance-Punk, Glam Rock"
30,Liturgy,93696,24 March 2023,3.62,7k,"Avant-Garde Metal, Black Metal, Totalism, Glitch, Chamber Music, Progressive Metal, Choral"
31,Hashirat,A place to myself,10 February 2023,3.68,673,"Sound Collage, Drone, Ambient, Spoken Word, Dark Ambient, Musique concrète, Post-Rock, Radio Broadcast Recordings"
32,Agusa,Prima Materia,14 July 2023,3.70,370,"Progressive Rock, Progressive Folk, Psychedelic Rock, Jazz-Rock"
33,Paramore,This Is Why,10 February 2023,3.59,17k,"Post-Punk Revival, Dance-Punk, New Wave, Dance-Punk Revival, Indie Rock"
34,Squid,O Monolith,9 June 2023,3.62,11k,"Art Punk, Experimental Rock, Post-Rock, Noise Rock, Krautrock, Post-Rock, Art Rock, Progressive Rock"
35,Estoy Bien,Apoyo emocional,24 November 2023,3.66,2k,"Emo-Pop, Post-Hardcore, Midwest Emo, Power Pop, Pop Punk"
36,Money Mardragon SpaceGhostPurrp,Belaire Black Bottle Boyz (Carol City to West Atlanta Zone 1),9 December 2023,3.66,1k,"Trap, Experimental Hip Hop, Florida Fast Music, Chicago Drill, Dark Plugg, Gangsta Rap"
37,PinkPantheress,Heaven Knows,10 November 2023,3.61,12k,"Contemporary R&B, Alt-Pop, Electronic Dance Music, Liquid Drum and Bass, Dance-Pop, 2-Step, Breakbeat, Alternative R&B"
38,Nourished by Time,Erotic Probiotic 2,21 April 2023,3.65,4k,"Alternative R&B, Bedroom Pop, Freestyle, Hypnagogic Pop, UK Street Soul, Synthpop"
39,Odz Manouk,BosoragazanԲոսորագազան,6 July 2023,3.66,1k,"Black Metal, Atmospheric Black Metal, Dissonant Black Metal"
40,Trhä,Lhum'ad'sejja,21 July 2023,3.67,713,"Atmospheric Black Metal, Melodic Black Metal"
1,Headache,The Head Hurts but the Heart Knows the Truth,31 May 2023,3.64,2k,"Trip Hop, Poetry, Indietronica, Downtempo, Illbient"
2,Hayden Pedigo,The Happiest Times I Ever Ignored,30 June 2023,3.67,1k,"American Primitivism, Ambient Americana"
3,Earl Sweatshirt&,Voir Dire,25 August 2023,3.61,12k,"Abstract Hip Hop, Drumless, Jazz Rap, Conscious Hip Hop"
4,DJ Sabrina the Teenage DJ,Destiny,13 August 2023,3.63,3k,"House, Plunderphonics, Dance-Pop, French House, Outsider House, Nu-Disco"
5,Ostraca,Disaster,30 June 2023,3.65,2k,"Screamo, Post-Metal, Emoviolence, Neocrust, Post-Rock"
6,Tim Hecker,No Highs,7 April 2023,3.63,6k,"Ambient, Electroacoustic, Drone, Post-Minimalism, Progressive Electronic"
7,Simeon ten Holt/,Canto Ostinato,22 February 2023,3.64,2k,Minimalism
8,Valgur,Armaggedon,26 July 2023,3.66,645,"Synthpop, Progressive Pop, Chillwave, Hypnagogic Pop, Glitch Pop, City Pop, Art Pop"
9,Nospūn,Opus,19 May 2023,3.66,560,"Progressive Metal, Progressive Rock"
10,Temachii,Flora Maniia,21 April 2023,3.66,941,"Dream Pop, Indie Rock, Ambient Pop, Sophisti-Pop, Indie Pop"
11,Kelela,Raven,10 February 2023,3.60,10k,"Alternative R&B, Electronic, Breakbeat, UK Bass, Ambient, Downtempo, Ambient Pop"
12,King Krule,Space Heavy,9 June 2023,3.61,9k,"Neo-Psychedelia, Slowcore, Art Rock, Post-Punk, Jazz-Rock, Post-Rock, Bedroom Pop"
13,Tinashe,BB/ANG3L,8 September 2023,3.62,6k,"Alternative R&B, Electronic, Trap Soul, UK Garage, UK Bass"
14,Colin Stetson,When We Were That What Wept for the Sea,12 May 2023,3.64,3k,"Post-Minimalism, Totalism, Drone"
15,Blood Abscission,I,4 August 2023,3.66,556,"Atmospheric Black Metal, Melodic Black Metal, Post-Metal"
16,Hellripper,Warlocks Grim & Withered Hags,17 February 2023,3.63,3k,"Speed Metal, Black Metal, Melodic Black Metal"
17,Aprxel,Tapetumlucidum<3,1 November 2023,3.65,921,"Alternative R&B, Neo-Psychedelia, Art Pop, Glitch, Epic Collage, PluggnB, Hypnagogic Pop, Wave"
18,Demoniac,Nube negra,1 September 2023,3.65,1k,"Technical Thrash Metal, Progressive Metal, Black Metal"
19,Florence Sinclair,"Departures, Wonders & Tears",20 July 2023,3.66,570,"Experimental Hip Hop, Cloud Rap, Sound Collage, Hypnagogic Pop, Art Pop"
20,Gezebelle Gaburgably,Gaburger,4 July 2023,3.63,2k,"Slacker Rock, Power Pop, Indie Pop, Noise Pop, Geek Rock, Garage Punk, Singer-Songwriter"
21,Trhä,Avrhëlajntrhëhh hinnem nihreAv◊ëlajnt◊ë£ hinnem nihre,1 November 2023,3.64,2k,"Black Metal, Atmospheric Black Metal, Dungeon Synth"
22,Sadness/,Sadness // Abriction,27 March 2023,3.63,3k,"Shoegaze, Emo, Blackgaze, Post-Rock, Ambient"
23,Infibulated,Diabolical Euphoric Subjugation,20 September 2023,3.67,296,"Brutal Death Metal, Slam Death Metal"
24,Nuclear Power Trio,Wet Ass Plutonium,28 July 2023,3.66,384,"Progressive Metal, Funk Metal, Flamenco nuevo"
25,Junior H,$ad Boyz 4 Life II,5 October 2023,3.65,376,"Corrido tumbado, Banda sinaloense"
26,Amaarae,Fountain Baby,9 June 2023,3.61,6k,"Alternative R&B, Alté, Pop Rap, Dance-Pop, Funk brasileiro, Neo-Psychedelia"
27,Jane Remover,Census Designated,20 October 2023,3.58,10k,"Shoegaze, Post-Rock, Dream Pop, Emo, Noise Rock, Indie Rock, Slowcore"
28,The Lemon Twigs,Everything Harmony,5 May 2023,3.61,5k,"Soft Rock, Pop Rock, Baroque Pop, Folk Pop, Jangle Pop, Power Pop, Psychedelic Pop"
29,Feeble Little Horse,Girl With Fish,9 June 2023,3.61,6k,"Noise Pop, Slacker Rock, Indie Pop, Shoegaze, Twee Pop, Neo-Psychedelia"
30,Yussef Dayes,Black Classical Music,8 September 2023,3.64,2k,"Jazz Fusion, Spiritual Jazz, Jazz-Funk, Nu Jazz, Afro-Jazz"
31,Great Falls,Objects Without Pain,15 September 2023,3.64,2k,"Sludge Metal, Noise Rock, Post-Hardcore, Mathcore, Post-Metal"
32,Wayfarer,American Gothic,27 October 2023,3.64,2k,"Atmospheric Black Metal, Gothic Country, Post-Metal, Western"
33,Trhä,Rhejde qhaominvac tla aglhaonamëc,21 July 2023,3.64,919,"Atmospheric Black Metal, DSBM, Blackgaze"
34,This Is the Glasshouse,As Small as Ants,9 July 2023,3.64,546,"Indie Rock, Chamber Pop, Art Rock, Jazz-Rock, Midwest Emo"
35,The Chronicles of Father Robin,The Songs & Tales of Airoea - Book I: The Tale of Father Robin (State of Nature),15 September 2023,3.66,288,"Symphonic Prog, Progressive Rock, Progressive Folk, Neo-Canterbury"
36,Trhä,Shwandlhë aglivajsamë cá nëlhqhiha i eddana piqhe§ºanΩë aglivajsamë cá nëlh¶iha i eddana pi¶e,10 August 2023,3.63,888,"Atmospheric Black Metal, Ambient, Winter Synth"
37,KNOWER,Knower Forever,2 June 2023,3.61,3k,"Synth Funk, Jazz-Funk, Nu Jazz, Art Pop, Jazzstep, Jazz Fusion"
38,Dying Fetus,Make Them Beg for Death,8 September 2023,3.61,3k,"Brutal Death Metal, Technical Death Metal"
39,Mon Laferte,Autopoiética,10 November 2023,3.63,2k,"Art Pop, Latin Alternative, Bolero, Trip Hop, Latin Pop, Latin Electronic, Alt-Pop"
40,Jute Gyte,Unus mundus patet,5 September 2023,3.63,682,"Avant-Garde Metal, Dissonant Black Metal, Black Metal, Dark Ambient, Drone, Totalism, Microtonal Classical, Black Noise"
